path,cluster,center,fraction,mean length scale,max length scale,iOrg,cot,sds_mean,trs_mean,cot_mean,ctp_mean
/Users/sz/Documents/Uni/Master/Masterarbeit/Masterarbeit_Projekt/ImageClusteringMain/data/cot/random_10k_cot/20130520t1510_germany_2.npy,6,0,0.83966064453125,22.16577155371381,116.36150566231083,0.7584151537699457,0.5030176248461065,257.1409,377.67505,18.349173,773.0424
/Users/sz/Documents/Uni/Master/Masterarbeit/Masterarbeit_Projekt/ImageClusteringMain/data/cot/random_10k_cot/20130411t0810_germany_1.npy,5,0,0.93988037109375,29.248931604419333,123.95967086113129,0.883347941738723,0.4786158985956827,225.78305,450.14557,12.532646,398.91687
/Users/sz/Documents/Uni/Master/Masterarbeit/Masterarbeit_Projekt/ImageClusteringMain/data/cot/random_10k_cot/20130422t1210_germany_1.npy,7,0,0.47119140625,20.70963275601209,86.6717947200818,0.713855879610135,0.3015872411154437,568.43427,345.35754,7.3951025,755.71216
/Users/sz/Documents/Uni/Master/Masterarbeit/Masterarbeit_Projekt/ImageClusteringMain/data/cot/random_10k_cot/20130528t1355_germany_0.npy,7,0,0.23876953125,4.8691981792786905,43.09292285283048,0.5580334554940377,0.1892350313897437,640.36694,258.21582,4.9352937,668.4948
/Users/sz/Documents/Uni/Master/Masterarbeit/Masterarbeit_Projekt/ImageClusteringMain/data/cot/random_10k_cot/20130520t1745_germany_3.npy,7,0,0.36474609375,8.64291617453276,66.92533152700851,0.5576844863870674,0.2189853817450532,85.99036,99.01331,5.736422,783.92706
/Users/sz/Documents/Uni/Master/Masterarbeit/Masterarbeit_Projekt/ImageClusteringMain/data/cot/random_10k_cot/20130520t1635_germany_2.npy,6,0,0.8389892578125,31.334599771772144,116.37439580938756,0.7021316431545543,0.4869053913840109,137.37886,285.80667,17.86171,600.23157
/Users/sz/Documents/Uni/Master/Masterarbeit/Masterarbeit_Projekt/ImageClusteringMain/data/cot/random_10k_cot/20130613t1125_germany_1.npy,2,0,0.5186767578125,10.50540986176343,69.58448102845921,0.6119764380963029,0.3087247760438422,664.5535,349.74286,4.96545,404.29144
/Users/sz/Documents/Uni/Master/Masterarbeit/Masterarbeit_Projekt/ImageClusteringMain/data/cot/random_10k_cot/20130417t1625_germany_3.npy,1,0,0.00689697265625,3.068658773253661,9.327379053088816,0.8836995305463683,0.0946280869418401,221.04318,125.35249,0.6822009,248.79007
/Users/sz/Documents/Uni/Master/Masterarbeit/Masterarbeit_Projekt/ImageClusteringMain/data/cot/random_10k_cot/20130708t0755_germany_0.npy,1,0,0.0,,0.0,,0.0003434693664506,642.8938,144.23672,0.0019720457,255.35796
/Users/sz/Documents/Uni/Master/Masterarbeit/Masterarbeit_Projekt/ImageClusteringMain/data/cot/random_10k_cot/20130731t1605_germany_0.npy,5,0,0.57061767578125,12.482654632195295,86.7179335547152,0.5696384946208494,0.3495285962536221,236.03079,245.06442,9.005077,646.7438
