path,cluster,center,fraction,mean length scale,max length scale,iOrg,cot
/Users/sz/Documents/Uni/Master/Masterarbeit/Masterarbeit_Projekt/ImageClusteringMain/data/cot/random_10k_cot/20130409t1610_germany_2.npy,11,11,0.56036376953125,11.371449298789033,91.82047701901793,0.6635237441537885,0.38041579700606193
/Users/sz/Documents/Uni/Master/Masterarbeit/Masterarbeit_Projekt/ImageClusteringMain/data/cot/random_10k_cot/20130701t1430_germany_2.npy,8,0,0.01373291015625,1.7206180040292134,5.0990195135927845,0.7089262020611224,0.06415948486221101
/Users/sz/Documents/Uni/Master/Masterarbeit/Masterarbeit_Projekt/ImageClusteringMain/data/cot/random_10k_cot/20130707t1715_germany_0.npy,8,0,0.0048828125,3.6514837167011076,5.830951894845301,0.7377866883391405,0.008520257364434654
/Users/sz/Documents/Uni/Master/Masterarbeit/Masterarbeit_Projekt/ImageClusteringMain/data/cot/random_10k_cot/20130630t0720_germany_3.npy,14,14,0.4346923828125,9.153591387762381,57.9396237474839,0.5189945303686608,0.2846969480556014
/Users/sz/Documents/Uni/Master/Masterarbeit/Masterarbeit_Projekt/ImageClusteringMain/data/cot/random_10k_cot/20130403t1525_germany_3.npy,10,0,0.86865234375,27.368825907936706,118.53269591129698,0.6414368569256803,0.460954266784732
/Users/sz/Documents/Uni/Master/Masterarbeit/Masterarbeit_Projekt/ImageClusteringMain/data/cot/random_10k_cot/20130423t1440_germany_2.npy,9,0,0.25494384765625,6.562153279991492,44.22668877499196,0.5938076543179426,0.19245353453063846
/Users/sz/Documents/Uni/Master/Masterarbeit/Masterarbeit_Projekt/ImageClusteringMain/data/cot/random_10k_cot/20130505t1400_germany_2.npy,8,0,0.05560302734375,4.356508540869243,20.615528128088304,0.7795880439287981,0.0673619187438955
/Users/sz/Documents/Uni/Master/Masterarbeit/Masterarbeit_Projekt/ImageClusteringMain/data/cot/random_10k_cot/20130708t1340_germany_2.npy,8,0,0.08941650390625,2.5183310628254065,10.44030650891055,0.5319759453042502,0.09666580696309801
/Users/sz/Documents/Uni/Master/Masterarbeit/Masterarbeit_Projekt/ImageClusteringMain/data/cot/random_10k_cot/20130523t0845_germany_0.npy,14,0,0.3851318359375,7.048761548674968,49.52776998815917,0.6070622361098443,0.24695675674604672
/Users/sz/Documents/Uni/Master/Masterarbeit/Masterarbeit_Projekt/ImageClusteringMain/data/cot/random_10k_cot/20130614t1530_germany_0.npy,10,0,0.9005126953125,45.90984955011599,121.33836985883731,0.8137319244145765,0.4782577846514111
